,Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,Style
0,6,18.93,1.072,1.015,7.45,29.94,5.44,20.82,60,1.065,70.0,2.0,Specific Gravity,All Grain,0.35,26.67,Saison
1,7,21.0,1.05,1.009,5.41,111.28,5.78,28.5,60,1.037,65.0,5.0,Specific Gravity,All Grain,1.0,19.0,American Pale Ale
2,9,41.64,1.075,1.017,7.61,70.45,9.29,49.21,60,1.064,70.0,1.25,Specific Gravity,All Grain,0.75,17.78,American IPA
3,14,58.67,1.0590000000000002,1.011,6.32,43.17,6.48,71.92,65,1.048,62.0,1.5,Specific Gravity,All Grain,1.0,23.89,Saison
4,15,20.82,1.069,1.014,7.2,104.21,8.78,28.39,60,1.05,60.0,1.5,Specific Gravity,All Grain,1.25,19.44,American IPA
5,20,22.71,1.058,1.01,6.32,31.1,7.05,28.39,65,1.046,63.0,1.33,Specific Gravity,All Grain,0.75,17.78,American Pale Ale
6,24,40.0,1.069,1.017,6.76,60.83,8.15,53.0,60,1.052,75.0,34.0,Specific Gravity,All Grain,2.0,20.0,American IPA
7,26,41.64,1.078,1.016,8.05,104.25,8.12,47.32,60,1.068,70.0,1.75,Specific Gravity,All Grain,2.0,20.0,Imperial IPA
8,29,20.82,1.08,1.03,6.55,31.78,34.8,32.18,90,1.052,80.0,2.0,Specific Gravity,All Grain,1.0,18.33,American Stout
9,30,3.79,1.06,1.011,6.48,90.02,17.83,6.81,60,1.033,35.0,1.5,Specific Gravity,All Grain,0.5,22.22,American IPA
10,31,20.82,12.8186,3.13744,5.19,38.32,5.57,28.01,60,9.6,75.0,1.5,Plato,All Grain,0.75,20.0,American Pale Ale
11,32,22.71,1.046,1.016,4.05,35.2,31.95,26.5,75,1.036,60.0,1.5,Specific Gravity,All Grain,0.35,20.0,American Stout
12,36,27.0,1.048,1.006,5.46,34.68,4.04,33.0,60,1.039,35.0,3.0,Specific Gravity,All Grain,1.25,17.0,Saison
13,37,500.0,1.082,1.013,9.03,28.96,13.92,600.0,60,1.054,75.0,3.0,Specific Gravity,All Grain,1.0,19.0,Saison
14,38,21.0,1.062,1.011,6.71,23.4,6.02,30.0,60,1.043,75.0,3.1,Specific Gravity,All Grain,0.75,16.0,Saison
15,39,13.75,1.074,1.02,7.01,51.77,4.81,27.0,75,1.038,60.0,2.5,Specific Gravity,All Grain,0.35,20.0,American Light Lager
16,40,24.0,1.06,1.012,6.49,57.89,9.88,28.0,60,1.051,85.0,3.5,Specific Gravity,All Grain,0.75,18.0,American IPA
17,45,21.77,1.052,1.011,5.31,18.6,5.29,30.28,60,1.037,70.0,1.5,Specific Gravity,All Grain,0.35,21.11,Witbier
18,47,12.0,1.057,1.01,6.08,28.33,6.75,14.0,60,1.0490000000000002,70.0,3.0,Specific Gravity,All Grain,0.35,16.0,American Pale Ale
19,55,20.82,1.072,1.024,6.29,63.78,39.05,27.44,60,1.0490000000000002,75.0,1.5,Specific Gravity,All Grain,0.5,21.11,American Stout
20,57,23.0,1.05,1.013,4.87,52.36,5.81,27.0,60,1.043,75.0,3.48,Specific Gravity,All Grain,0.75,20.0,American Pale Ale
21,58,28.0,1.056,1.011,5.92,44.8,5.97,34.0,60,1.046,70.0,2.5,Specific Gravity,All Grain,0.75,19.0,American Pale Ale
22,65,24.61,1.051,1.007,5.91,15.89,3.2,30.28,90,1.036,70.0,1.63,Specific Gravity,All Grain,0.75,21.11,Saison
23,75,20.82,16.6602,3.5754900000000003,7.12,60.26,6.03,30.28,75,11.7,65.0,1.25,Plato,All Grain,0.35,20.0,American IPA
24,81,7.57,1.056,1.011,5.84,37.45,4.19,11.36,60,1.037,60.0,1.5,Specific Gravity,All Grain,0.35,19.44,American Pale Ale
25,82,29.4,1.055,1.009,5.98,62.1,10.3,36.0,90,1.04,75.0,4.52,Specific Gravity,All Grain,0.35,25.0,American Pale Ale
26,95,41.64,1.068,1.02,6.25,59.54,13.53,53.0,60,1.053,70.0,1.33,Specific Gravity,All Grain,0.75,20.0,American Amber Ale
27,101,20.82,1.061,1.011,6.56,87.45,11.74,28.39,60,1.045,70.0,1.5,Specific Gravity,All Grain,0.35,22.22,American Amber Ale
28,109,21.0,1.069,1.018,6.79,70.28,11.44,26.5,60,1.055,72.0,3.0,Specific Gravity,All Grain,0.75,20.0,American IPA
29,111,11.36,1.042,1.011,3.96,39.39,7.36,15.14,60,1.031,65.0,2.285,Specific Gravity,All Grain,0.35,18.89,American Pale Ale
30,113,18.0,1.057,1.014,5.62,57.46,7.19,28.5,60,1.036,55.0,3.0,Specific Gravity,All Grain,0.75,20.0,American IPA
31,114,11.5,1.06,1.011,6.4,56.95,7.08,18.0,60,1.038,70.0,3.0,Specific Gravity,All Grain,1.0,23.0,American IPA
32,122,15.0,1.056,1.01,6.01,26.43,12.84,17.0,60,1.0490000000000002,60.0,3.0,Specific Gravity,All Grain,0.35,18.0,American Amber Ale
33,123,12.0,1.072,1.018,7.11,63.51,10.1,28.5,180,1.03,35.0,3.0,Specific Gravity,All Grain,0.35,25.0,American IPA
34,125,10.0,1.046,1.009,4.9,36.32,5.79,10.0,60,1.046,70.0,5.0,Specific Gravity,All Grain,0.5,20.0,American Pale Ale
35,126,23.0,1.063,1.014,6.37,61.92,6.74,27.0,70,1.054,75.0,4.5,Specific Gravity,All Grain,1.0,19.0,American IPA
36,129,18.93,1.078,1.019,7.66,60.73,7.24,13.25,60,1.111,75.0,1.5,Specific Gravity,All Grain,0.35,23.89,American IPA
37,137,22.0,1.048,1.013,4.56,19.76,4.58,30.0,70,1.035,70.0,5.0,Specific Gravity,All Grain,0.75,20.0,Witbier
38,141,22.71,1.071,1.02,6.74,70.15,5.57,32.18,60,1.05,57.0,1.4,Specific Gravity,All Grain,1.0,18.89,American Pale Ale
39,149,21.0,1.0490000000000002,1.009,5.29,32.87,5.8,28.5,60,1.036,70.0,2.5,Specific Gravity,All Grain,0.5,18.0,American Pale Ale
40,157,56.78,1.05,1.011,5.06,10.75,5.49,64.35,60,1.044,70.0,1.75,Specific Gravity,All Grain,0.75,20.0,Blonde Ale
41,167,20.82,1.068,1.012,7.33,90.68,5.02,26.5,70,1.053,71.0,1.5,Specific Gravity,All Grain,0.5,20.0,Saison
42,168,20.82,1.0590000000000002,1.017,5.41,29.78,27.27,24.61,60,1.05,70.0,2.0,Specific Gravity,All Grain,0.35,18.33,American Brown Ale
43,169,20.82,1.047,1.011,4.77,12.0,3.37,28.39,60,1.035,70.0,1.5,Specific Gravity,All Grain,0.75,14.44,Blonde Ale
44,171,20.82,1.058,1.016,5.47,73.57,18.69,28.39,60,1.042,70.0,1.33,Specific Gravity,All Grain,0.35,21.11,American IPA
45,174,20.82,1.061,1.013,6.18,77.02,7.01,28.39,60,1.044,60.0,1.25,Specific Gravity,All Grain,0.35,21.11,American IPA
